ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6," Thakur to Pant, 2 runs, fifty for the skipper! He thumps the full delivery to the right of long-on, keeps his head down and just runs..... ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
19.5," Thakur to Pant, 2 runs, goes deep inside the crease and smacks the full delivery to the right of Faf at wide long-off, a slight fumble and Pant was always gonna come back for the second no matter what ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
19.4," Thakur to Pant, FOUR, agricultural swipe outside off and the wobbly low full toss shaves the inside edge before skimming past MSD's right. A boundary nonetheless... ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
19.3," Thakur to Pant, no run, pins the yorker right outside off, Pant jams it straight to cover ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
19.2," Thakur to Pant, no run, three dots! This is brilliant from Shardul Thakur and CSK. Fires it full and well wide of off, nearly trimming the tramline as Pant leaves it alone assuming it to be a wide. Wasn't to be... ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
19.1," Thakur to Pant, no run, two dots in a row! Gold. Pant was in two minds on the back foot and decides to play a reverse sweep against this 130ks full delivery outside off, misses and gets hit on the pad outside the line of off-stump ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
18.6," Dwayne Bravo to Tom Curran, no run, yorker right in the blockhole, Curran looks to squeeze it out and ends up jamming it into his pads. He is disgusted with himself is Tom Curran and thuds his palm onto the bat in frustration... ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
18.5," Dwayne Bravo to Pant, 1 run, slower and fuller outside off, Pant goes hard and toe-ends it down to long-off ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
18.4," Dwayne Bravo to Hetmyer, out Caught by Jadeja!! The fun ends, but Hetmyer's done his part one would imagine. He tries to slap this slower delivery out of the park and doesn't get the desired connection, drags it off the top half and picks out one of the best fielders in world cricket at wide long-on. Hetmyer c Jadeja b Dwayne Bravo 37(24) [4s-3 6s-1] ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
18.3," Dwayne Bravo to Hetmyer, 2 runs, sinks low and lifts Bravo inside out on the off-side, doesn't get the timing right and the ball teases backtracking Mo Ali at mid-off to his right ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
18.2," Dwayne Bravo to Pant, 1 run, dropped? A tough chance and looks like it fell well short of Chahar. Pant was all hands on this full delivery outside off, looks to slog and loses his bat... it flies high and flat to the right of sweeper cover where Chahar does well to put in a dive and prevent the boundary. The bat seems to have landed somewhere in the square leg region ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
18.1," Dwayne Bravo to Pant, SIX, stop it Rishabh Pant! He is hitting one-handed sixes for fun. The gymnastics power is speaking.... gets under the full delivery and tonks DJ Bravo for a 78-metre six straight down the ground... ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
18.1," Dwayne Bravo to Pant, wide, MSD doesn't seem too impressed. A full delivery that's bowled miles outside the tramline outside off, Pant swings and misses ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
17.6," Hazlewood to Pant, 1 run, yorker at 137ks outside off, Pant jams it into the off-side for a quick single ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
17.5," Hazlewood to Pant, 2 runs, 137ks full outside off, Pant loses shape trying to carve but manages decent contact to get it deep towards extra cover ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
17.4," Hazlewood to Pant, no run, and the funky Rishabh Pant comes out....tries to reverse sweep Hazlewood and gets beaten for pace outside off ",1st Inns,Qua,Delhi Capitals,Chennai Super Kings,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Rishabh Pant(w/c), Shreyas Iyer, Shimron Hetmyer, Tom Curran, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Avesh Khan, Anrich Nortje","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Robin Uthappa, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 10,2021",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 4 wkts,Ruturaj Gaikwad,CSK,field,DC,CSK
